,category,subcategory,name,geometry,lon,lat
0,education,college,Holy Cross College of Davao - Calinan Campus,POINT (125.4559797 7.1879413),125.4559797,7.1879413
1,education,college,Colegio De Kidapawan,POINT (125.0856397 7.000993),125.0856397,7.000993
2,education,college,Dr. P Ocampo College,POINT (125.5153591 7.0332833),125.5153591,7.0332833
3,education,college,Davao Central College,POINT (125.4989931 7.0140446),125.4989931,7.0140446
4,education,college,General Baptist Bible College,POINT (125.5249963 7.0587237),125.5249963,7.0587237
5,education,college,International College of Saint Ignatius De Loyola,POINT (125.5107553 7.0342574),125.5107553,7.0342574
6,education,college,St. Francis College of Davao,POINT (125.4635937 7.1740913),125.4635937,7.1740913
7,education,college,UM Guianga College,POINT (125.4887989 7.1053679),125.4887989,7.1053679
8,education,college,Medina College Science High School,POINT (123.8584671 8.166636199999999),123.8584671,8.1666362
9,education,college,Blessed Mother College,POINT (124.595736 8.5035197),124.595736,8.5035197
10,education,college,Mercy Child College,POINT (124.6068972 8.5036013),124.6068972,8.5036013
11,education,college,Cagayan De Oro College,POINT (124.7451079 8.4948827),124.7451079,8.4948827
12,education,college,Mindanao Sanitarium & Hospital College,POINT (124.2473025 8.2409681),124.2473025,8.2409681
13,education,college,Medina College Science High School,POINT (123.8587064 8.167317499999999),123.8587064,8.1673175
14,education,college,Southern Capitol College,POINT (123.8065342 8.478932199999999),123.8065342,8.4789322
15,education,college,Colegio De San Francisco Javier,POINT (123.5519695 8.526008900000001),123.5519695,8.5260089
16,education,college,Southeastern College,POINT (125.3467876 6.6431426),125.3467876,6.6431426
17,education,college,Doña Lourdes Institute of Technology,POINT (125.1761457 6.1129255),125.1761457,6.1129255
18,education,college,South Philippine Adventist College,POINT (125.2620837 6.7536762),125.2620837,6.7536762
19,education,college,UM  Bansalan College,POINT (125.2083066 6.7893347),125.2083066,6.7893347
20,education,college,Rock Valley Christian College Foundation,POINT (125.0927907 6.9563994),125.0927907,6.9563994
21,education,college,Matalam Polytechnic College,POINT (124.9035514 7.0879263),124.9035514,7.0879263
22,education,college,Central Cotabato College,POINT (124.5391206 7.1994228),124.5391206,7.1994228
23,education,college,Cotabato Medical Foundation College Incorporated (CMFCI)POB,POINT (124.5390688 7.1993289),124.5390688,7.1993289
24,education,college,Midsayap Community College,POINT (124.5348689 7.1924139),124.5348689,7.1924139
25,education,college,St. Jude College Science & Technology,POINT (124.5374841 7.1962768),124.5374841,7.1962768
26,education,college,I - Link College of Science & Technology,POINT (124.539003 7.2084966),124.539003,7.2084966
27,education,college,Cotabato City State Polytechnic College,POINT (124.2456375 7.2120359),124.2456375,7.2120359
28,education,college,Shariff Kabunsuan College,POINT (124.2347337 7.2220113),124.2347337,7.2220113
29,education,college,Southern Kutawato Empire College,POINT (124.2439446 7.2059236),124.2439446,7.2059236
30,education,college,San Isidro College,POINT (125.1262609 8.150924),125.1262609,8.150924
31,education,college,Notre Dame of Tacurong College,POINT (124.6728518 6.6870175),124.6728518,6.6870175
32,education,college,Iligan Medical Center College,POINT (124.2491941 8.231223999999999),124.2491941,8.231224
33,education,college,Mindanao State University - Iligan Institute of Technology,POINT (124.2442352 8.24084),124.2442352,8.24084
34,education,college,St. Francis College of Davao,POINT (125.4593784 7.1860159),125.4593784,7.1860159
35,education,college,Philippine Computer College,POINT (125.017221 7.7880765),125.017221,7.7880765
36,education,college,Valencia College Bukidnon Inc.,POINT (125.0952568 7.9228791),125.0952568,7.9228791
37,education,college,Phil Millennium College,POINT (125.0665466 6.2131214),125.0665466,6.2131214
38,education,college,Phil Nippon Technical College of Davao del Sur,POINT (125.3692644 6.649878),125.3692644,6.649878
39,education,college,AMA Computer College,POINT (122.0791398 6.9162675),122.0791398,6.9162675
40,education,college,St. Mary's College of Bansalan,POINT (125.2148922 6.7813829),125.2148922,6.7813829
41,education,college,Adventure College of Technology & Science,POINT (125.3571266 6.7388884),125.3571266,6.7388884
42,education,college,AMA College,POINT (124.2389895 7.2013567),124.2389895,7.2013567
43,education,college,CAD.IT,POINT (124.2492465 7.2212762),124.2492465,7.2212762
44,education,college,Coland System Technology Institute,POINT (124.2450711 7.2163761),124.2450711,7.2163761
45,education,college,System Technology Institute,POINT (124.2396369 7.2059519),124.2396369,7.2059519
46,education,college,System Technology Institute,POINT (124.2470172 7.2257739),124.2470172,7.2257739
47,education,college,AR Pacheco Collge,POINT (124.2392118 7.2174716),124.2392118,7.2174716
48,education,college,Notre Dame School of Midwifery,POINT (124.2383839 7.1977814),124.2383839,7.1977814
49,education,college,Headstart College of Cotabato,POINT (124.2473369 7.2240776),124.2473369,7.2240776
50,education,college,St. Peter's College Iligan City,POINT (124.2361216 8.2311459),124.2361216,8.2311459
51,education,college,College of Engineering,POINT (124.2602946 7.9935034),124.2602946,7.9935034
52,education,college,Cotabato Foundation College of Science and Technology (PIKIT EXTERNAL CAMPUS),POINT (124.6702879 7.0732095),124.6702879,7.0732095
53,education,college,Saint Joseph College of Sindangan Inc.,POINT (123.001325 8.2374902),123.001325,8.2374902
54,education,college,Alhadeetha Mindanao College (AMC),POINT (123.5002625 7.8598249),123.5002625,7.8598249
55,education,college,Philippine Advent College,POINT (123.0014483 8.2454717),123.0014483,8.2454717
56,education,college,Kidapawan Doctor's College Inc.,POINT (125.0870631 7.0226065),125.0870631,7.0226065
57,education,college,Southern Capital College,POINT (123.8080934 8.4839175),123.8080934,8.4839175
58,education,college,College of Theology,POINT (124.5362912 7.199233),124.5362912,7.199233
59,education,college,College of Agriculture,POINT (124.5354753 7.1996684),124.5354753,7.1996684
60,education,college,"RC Al-Khwarizmi International College Foundation, Inc.",POINT (124.271216 8.001398399999999),124.271216,8.0013984
61,education,college,College of Fisheries,POINT (124.261937 8.0007676),124.261937,8.0007676
62,education,college,College of Forestry,POINT (124.26249 7.9998425),124.26249,7.9998425
63,education,college,College of Business Administration and Accountancy,POINT (124.2581029 7.9938703),124.2581029,7.9938703
64,education,college,College of Education,POINT (124.2596358 7.9937856),124.2596358,7.9937856
65,education,college,King Faisal Islamic College,POINT (124.2653806 7.9992387),124.2653806,7.9992387
66,education,college,College of Public Affairs,POINT (124.2591209 7.9951878),124.2591209,7.9951878
67,education,college,AMA Campus,POINT (124.6499264 8.476808),124.6499264,8.476808
68,education,college,Initao College,POINT (124.3160969 8.4966261),124.3160969,8.4966261
69,education,college,Southern philippine academy college(eastherner philippine),POINT (124.5996957 6.6256569),124.5996957,6.6256569
70,education,college,Southern Mindanao Colleges,POINT (123.437448 7.822472),123.437448,7.822472
71,education,college,Philippine Muslim Teacher's College,POINT (124.2826441 8.001894),124.2826441,8.001894
72,education,college,Philippine College Foundation,POINT (125.0872193 7.9049043),125.0872193,7.9049043
73,education,college,Kristy Dawn College of Davao Canitoan Cagayan de Oro Campus,POINT (124.6014283 8.477317599999999),124.6014283,8.4773176
74,education,college,Basilan State College Laboratory High School,POINT (122.0615555 6.6806254),122.0615555,6.6806254
75,education,college,Headstart College of Cotabato Annex,POINT (124.2239346 7.1828314),124.2239346,7.1828314
76,education,college,University of Science and Technology of Southern Philippines,POINT (124.6563583 8.485972500000001),124.6563583,8.4859725
77,education,college,LDCU College of Law,POINT (124.6395493 8.486437),124.6395493,8.486437
78,education,college,NAC - LDCU,POINT (124.6395672 8.4870725),124.6395672,8.4870725
79,education,college,St. Paul's Institute of Technology,POINT (124.245859 8.2424667),124.245859,8.2424667
80,education,college,Dansalan College Foundation Iligan Annex,POINT (124.2747004 8.262519299999999),124.2747004,8.2625193
81,education,college,AMA Computer Learning Center,POINT (125.092024 7.9154977),125.092024,7.9154977
82,education,college,SAC - LDCU,POINT (124.6389495 8.4849318),124.6389495,8.4849318
83,education,college,Blessed Mother College,POINT (124.5980287 8.5029653),124.5980287,8.5029653
84,education,college,Universidad de Zamboanga Laboratory,POINT (122.0865321 6.9202422),122.0865321,6.9202422
85,education,college,Universidad de Zamboanga Institute of Human Kinetics,POINT (122.0799724 6.9134716),122.0799724,6.9134716
86,education,college,Pastor Bonus Seminary,POINT (122.0899818 6.9167528),122.0899818,6.9167528
87,education,college,"Antonio R. Pacheco College, Inc.",POINT (124.2387065 7.2166428),124.2387065,7.2166428
88,education,college,Christ the King College de Maranding,POINT (123.7727264 7.9259995),123.7727264,7.9259995
89,education,college,Opol Community College,POINT (124.572153 8.521841),124.572153,8.521841
90,education,college,Liceo de Cagayan University Senior High School Campus,POINT (124.6422061 8.470386299999999),124.6422061,8.4703863
91,education,college,Engineering,POINT (124.6576595 8.485729900000001),124.6576595,8.4857299
92,education,college,Building #5(Engineering),POINT (124.6576708 8.485719899999999),124.6576708,8.4857199
93,education,college,Technology,POINT (124.6578845 8.4860402),124.6578845,8.4860402
94,education,college,Building#7,POINT (124.6578477 8.4862384),124.6578477,8.4862384
95,education,college,Building#9,POINT (124.6574336 8.486236),124.6574336,8.486236
96,education,college,Building#8,POINT (124.6576726 8.486326999999999),124.6576726,8.486327
97,education,college,Building#13,POINT (124.6566325 8.4865064),124.6566325,8.4865064
98,education,college,Building#12,POINT (124.6569423 8.4868921),124.6569423,8.4868921
99,education,college,Building#12,POINT (124.6561235 8.4866764),124.6561235,8.4866764
100,education,college,Building#18,POINT (124.6572092 8.4853773),124.6572092,8.4853773
101,education,college,Building#19,POINT (124.6572326 8.4850482),124.6572326,8.4850482
102,education,college,Building#20,POINT (124.6567839 8.4852364),124.6567839,8.4852364
103,education,college,Building#14,POINT (124.656761 8.486288),124.656761,8.486288
104,education,college,Building#15,POINT (124.6565056 8.486107499999999),124.6565056,8.4861075
105,education,college,Building#16,POINT (124.6566652 8.485882200000001),124.6566652,8.4858822
106,education,college,Building#23,POINT (124.655792 8.486613200000001),124.655792,8.4866132
107,education,college,Building#3,POINT (124.6583396 8.4859784),124.6583396,8.4859784
108,education,college,Building#29,POINT (124.6557499 8.4853051),124.6557499,8.4853051
109,education,college,Building#24,POINT (124.6554224 8.486300099999999),124.6554224,8.4863001
110,education,college,Building#36,POINT (124.6551618 8.486091099999999),124.6551618,8.4860911
111,education,college,Building#35,POINT (124.6552995 8.4858013),124.6552995,8.4858013
112,education,college,Building#37,POINT (124.6550096 8.486433699999999),124.6550096,8.4864337
113,education,college,Building#38,POINT (124.6549575 8.4866355),124.6549575,8.4866355
114,education,college,Building#42,POINT (124.6570929 8.484810700000001),124.6570929,8.4848107
115,education,college,Building#1,POINT (124.6584845 8.4862354),124.6584845,8.4862354
116,education,college,Building#2,POINT (124.6582788 8.486283500000001),124.6582788,8.4862835
117,education,college,Building#4,POINT (124.6580795 8.485852),124.6580795,8.485852
118,education,college,Building#28,POINT (124.6558871 8.4858922),124.6558871,8.4858922
119,education,college,Building#27,POINT (124.6556297 8.4859364),124.6556297,8.4859364
120,education,college,Building#25,POINT (124.655868 8.4862287),124.655868,8.4862287
121,education,college,Building#,POINT (124.6568029 8.4848581),124.6568029,8.4848581
122,education,college,Building#10,POINT (124.6572998 8.4859946),124.6572998,8.4859946
123,education,college,Building#41,POINT (124.6560727 8.485605400000001),124.6560727,8.4856054
124,education,college,Building#26,POINT (124.656165 8.4863316),124.656165,8.4863316
125,education,college,Holy child college of information technology,POINT (124.7497838 6.3780661),124.7497838,6.3780661
126,education,college,"Mary Mediatrix of all Graces Academy, Inc.",POINT (125.3350288 6.7417418),125.3350288,6.7417418
127,education,college,Pangantucan Bukidnon Community College,POINT (124.8268255 7.8294621),124.8268255,7.8294621
0,education,university,Mindanao University of Science and Technology,POINT (123.7867454 8.498086000000001),123.7867454,8.498086
1,education,university,Holy Trinity College,POINT (125.1687261 6.1128688),125.1687261,6.1128688
2,education,university,Golden Gate University,POINT (125.1725083 6.1070959),125.1725083,6.1070959
3,education,university,Notre Dame University,POINT (124.2502405 7.2158438),124.2502405,7.2158438
4,education,university,Xavier University - Manresa Farm,POINT (124.6249847 8.4572728),124.6249847,8.4572728
5,education,university,Mindanao State University - Naawan,POINT (124.2874234 8.4299409),124.2874234,8.4299409
6,education,university,Western Mindanao State University- Pagadian,POINT (123.4401742 7.8342449),123.4401742,7.8342449
7,education,university,Universidad de Zamboanga,POINT (122.0758763 6.9050412),122.0758763,6.9050412
8,education,university,Mindanao State University - Grauate School,POINT (124.2178934 7.1758459),124.2178934,7.1758459
9,education,university,MSU Graduate School,POINT (124.2176108 7.1746523),124.2176108,7.1746523
10,education,university,Misamis University,POINT (123.8046203 8.482803499999999),123.8046203,8.4828035
11,education,university,Misamis University,POINT (123.8412491 8.1497093),123.8412491,8.1497093
12,education,university,Western Mindanao State University - Malangas Campus,POINT (123.0348555 7.6309713),123.0348555,7.6309713
13,education,university,La Salle University Ozamiz,POINT (123.8457026 8.148630199999999),123.8457026,8.1486302
14,education,university,University of Mindanao,POINT (124.2428157 7.1931339),124.2428157,7.1931339
15,education,university,NDU Backgate,POINT (124.2484767 7.2155231),124.2484767,7.2155231
0,education,HS,Kapatagan National High School,POINT (125.3417087 6.9292812),125.3417087,6.9292812
1,education,elementary,Katangawan Elementary School,POINT (125.2205438 6.1737725),125.2205438,6.1737725
2,education,elementary,Johnny Ang Elementary School,POINT (125.220224 6.172592),125.220224,6.172592
3,education,elem_HS,Notre Dame Siena School of Marbel,POINT (124.8417439 6.4973574),124.8417439,6.4973574
4,education,elementary,Bawing Elementary School,POINT (125.1128949 5.9824611),125.1128949,5.9824611
5,education,elem_HS,Integrated School,POINT (124.8907051 5.8757851),124.8907051,5.8757851
6,education,elem_HS,Notre Dame Kiamba,POINT (124.6300562 5.9889929),124.6300562,5.9889929
7,education,elem_HS,Bagong Lipunan Integrated School,POINT (124.6824329 5.9691866),124.6824329,5.9691866
8,education,elem_HS,Lomuyon Barangay Health Station,POINT (124.7897657 5.9142746),124.7897657,5.9142746
9,education,elem_HS,Kayupo Barangay Hall,POINT (124.7523762 5.9292978),124.7523762,5.9292978
10,education,elem_HS,St Anthony De Padua Learning Center,POINT (124.6259862 5.9878213),124.6259862,5.9878213
11,education,elementary,Mua-an Elementary School,POINT (125.1490911 7.054638),125.1490911,7.054638
12,education,HS,Manongol National High School,POINT (125.1246424 7.0235147),125.1246424,7.0235147
13,education,HS,Bulatukan National High School,POINT (125.1621023 6.8814876),125.1621023,6.8814876
14,education,HS,Ricardo Ipong Memorial National High School,POINT (125.1635529 6.8836647),125.1635529,6.8836647
15,education,elem_HS,Ruth Smith Memorial Christian mission Inc.,POINT (125.5246387 7.0671213),125.5246387,7.0671213
16,education,HS,Dacudao National High School,POINT (125.4754222 7.2149277),125.4754222,7.2149277
17,education,elementary,General Roxas Central Elementary School,POINT (125.4761157 7.2149939),125.4761157,7.2149939
18,education,elementary,Tungkalan Elementary Shool,POINT (125.4242715 7.0744178),125.4242715,7.0744178
19,education,elem_HS,San Jose Primary School,POINT (125.4130034 7.0346374),125.4130034,7.0346374
20,education,elementary,Datu Lompipi Elementary School,POINT (125.2944364 7.3272276),125.2944364,7.3272276
21,education,elementary,Kibalang Elementary School,POINT (125.2851794 7.3451862),125.2851794,7.3451862
22,education,elem_HS,Montserrat Camp School De Davao,POINT (125.5121482 7.0336884),125.5121482,7.0336884
23,education,elementary,Biao Escuela Elementary School,POINT (125.521178 7.1678755),125.521178,7.1678755
24,education,elementary,Talandang Elementary School,POINT (125.517304 7.1826551),125.517304,7.1826551
25,education,elem_HS,Holy Cross of Calinan,POINT (125.4576305 7.1879734),125.4576305,7.1879734
26,education,elem_HS,Amigo School of Calinan,POINT (125.4602796 7.1864438),125.4602796,7.1864438
27,education,elementary,Bayabas Elementary School,POINT (125.4388583 7.0252071),125.4388583,7.0252071
28,education,elementary,Subasta Elementary School,POINT (125.4391616 7.1488574),125.4391616,7.1488574
29,education,HS,Optaciano Hilay National High School,POINT (125.4529262 7.1033613),125.4529262,7.1033613
30,education,elementary,Manambulan Elementary School,POINT (125.453601 7.1025758),125.453601,7.1025758
31,education,elementary,Panulawan Elementary School,POINT (125.4927217 7.3210431),125.4927217,7.3210431
32,education,elementary,San Pablo Elementary School,POINT (125.529512 7.3109726),125.529512,7.3109726
33,education,elementary,Lumondao Elementary School,POINT (125.3171403 7.270574),125.3171403,7.270574
34,education,HS,Silae National High School,POINT (125.3074826 8.162768099999999),125.3074826,8.1627681
35,education,HS,St. Isidore High School,POINT (125.2967575 8.2017039),125.2967575,8.2017039
36,education,elementary,Kilapagan Elementary School,POINT (125.2312085 8.160397700000001),125.2312085,8.1603977
37,education,elementary,Cadalian Elementary School,POINT (125.3751861 7.1479406),125.3751861,7.1479406
38,education,elementary,Tawan - Tawan Elementary School,POINT (125.3711446 7.1658654),125.3711446,7.1658654
39,education,elem_HS,St Joseph School of Toril,POINT (125.4840118 7.0434574),125.4840118,7.0434574
40,education,elem_HS,Maranatha Christian Academy,POINT (125.5262272 7.0450906),125.5262272,7.0450906
41,education,elem_HS,Notre Dame of Banga,POINT (124.7767164 6.4190336),124.7767164,6.4190336
42,education,elem_HS,Banga S. D. A. Elem. School,POINT (124.7736969 6.4254463),124.7736969,6.4254463
43,education,elementary,Mapula Elementary School,POINT (125.4475607 7.428818),125.4475607,7.428818
44,education,elementary,Singao Elementary School,POINT (125.054371 6.9963081),125.054371,6.9963081
45,education,elem_HS,Good Soil Academy,POINT (125.5142306 7.0983208),125.5142306,7.0983208
46,education,elementary,Lower Tamugan Elementary School,POINT (125.3940014 7.2515721),125.3940014,7.2515721
47,education,elementary,Tambobong Elementary School,POINT (125.3451392 7.1885659),125.3451392,7.1885659
48,education,HS,Lower Tamugan National High School,POINT (125.3931299 7.2515873),125.3931299,7.2515873
49,education,elementary,Tamugan Elementary School,POINT (125.37744 7.2311258),125.37744,7.2311258
50,education,elementary,Catigan Elementary School,POINT (125.429327 7.0015206),125.429327,7.0015206
51,education,elementary,Paquibato Elementary School,POINT (125.4948599 7.3711866),125.4948599,7.3711866
52,education,elementary,Mansabay Alto Elementary School,POINT (123.77415 8.529697799999999),123.77415,8.5296978
53,education,elem_HS,Mindanao Master Training School,POINT (123.8439195 8.145265999999999),123.8439195,8.145266
54,education,elementary,Ozamiz City Seventh Day Adventist Elementary School,POINT (123.8509328 8.150238699999999),123.8509328,8.1502387
55,education,HS,Liangan East High School,POINT (123.9893249 8.176127899999999),123.9893249,8.1761279
56,education,elementary,Liangan Central Elementary School,POINT (123.9910447 8.176748699999999),123.9910447,8.1767487
57,education,elementary,Maigo Central Elementary School,POINT (123.9578206 8.1583355),123.9578206,8.1583355
58,education,elementary,Bacolod Central Elementary School,POINT (124.0194059 8.1899294),124.0194059,8.1899294
59,education,elementary,Kawit Oriental Elementary School,POINT (124.0736696 8.190887099999999),124.0736696,8.1908871
60,education,elementary,Linamon Central Elementary School,POINT (124.1591137 8.183191799999999),124.1591137,8.1831918
61,education,elementary,Samburon Elementary School,POINT (124.1356898 8.186465999999999),124.1356898,8.186466
62,education,elementary,Francisca Legaspi Elementary School,POINT (124.1926473 8.161487899999999),124.1926473,8.1614879
63,education,HS,Iligan City East High School,POINT (124.2607531 8.268489499999999),124.2607531,8.2684895
64,education,elementary,Punta Silum Elementary School,POINT (124.2714186 8.3808442),124.2714186,8.3808442
65,education,elementary,Linangkayan Elementary School,POINT (124.2915518 8.4114928),124.2915518,8.4114928
66,education,elementary,Pagahan Elementary School,POINT (124.2861972 8.4595296),124.2861972,8.4595296
67,education,elementary,Maputi Elementary School,POINT (124.2929444 8.447307500000001),124.2929444,8.4473075
68,education,elementary,San Pedro Elementary School,POINT (124.2970054 8.487328700000001),124.2970054,8.4873287
69,education,HS,Initao National Comprehensive High School,POINT (124.3062936 8.5020335),124.3062936,8.5020335
70,education,elementary,Jampason Elementary School,POINT (124.3091173 8.514761200000001),124.3091173,8.5147612
71,education,elementary,Tubigan Elementary School,POINT (124.3120017 8.530025500000001),124.3120017,8.5300255
72,education,elementary,Puerto Elementary School,POINT (124.7485381 8.4990811),124.7485381,8.4990811
73,education,elem_HS,King of Zion School,POINT (124.7467196 8.4964814),124.7467196,8.4964814
74,education,elem_HS,Bethel Baptist Christian Academy,POINT (125.1223825 8.159647),125.1223825,8.159647
75,education,elem_HS,Puerto National high School,POINT (124.7486293 8.4992137),124.7486293,8.4992137
76,education,elementary,Igpit Elementary School,POINT (124.5879487 8.5091948),124.5879487,8.5091948
77,education,elementary,North East 1A Elementary School,POINT (124.261506 8.269254999999999),124.261506,8.269255
78,education,elementary,Tacub Elementary School,POINT (124.1036171 8.1892286),124.1036171,8.1892286
79,education,elementary,Esmeraldo Roque Elementary School,POINT (123.915624 8.1258383),123.915624,8.1258383
80,education,elementary,Liangan West Elementary School,POINT (123.9851235 8.174310800000001),123.9851235,8.1743108
81,education,elementary,Claro M Recto Elementary School,POINT (123.9644533 8.163654899999999),123.9644533,8.1636549
82,education,elementary,Riverside Elementary School,POINT (123.9054928 8.118084700000001),123.9054928,8.1180847
83,education,elementary,Guillermo Gimeno Elementary School,POINT (123.8781673 8.102792900000001),123.8781673,8.1027929
84,education,elementary,Kolambugan Central Elementary School,POINT (123.8972272 8.1118915),123.8972272,8.1118915
85,education,elem_HS,North Western Mindanao School of Technology,POINT (123.8454863 8.142743599999999),123.8454863,8.1427436
86,education,elementary,Tigdok Elementary School,POINT (123.844111 8.264689600000001),123.844111,8.2646896
87,education,elementary,Casusuhan Elementary School,POINT (123.8252714 8.4019736),123.8252714,8.4019736
88,education,HS,Sinonoc National High School,POINT (123.8473229 8.308390899999999),123.8473229,8.3083909
89,education,elementary,Macasampen Elementary School,POINT (124.3977526 6.9588599),124.3977526,6.9588599
90,education,elementary,Taviran Elementary School,POINT (124.3139471 7.1188496),124.3139471,7.1188496
91,education,HS,Dulangan National High School,POINT (124.2648761 7.1559099),124.2648761,7.1559099
92,education,elementary,Sirawan Elementary School,POINT (125.4812717 6.9907384),125.4812717,6.9907384
