,landuse,geometry,centroid,lon,lat
0,farmland,"POLYGON ((125.1340377 8.030424, 125.1328598 8.0302305, 125.1324625 8.0314882, 125.1323192 8.031546199999999, 125.1318893 8.0293534, 125.1309905 8.0287665, 125.1309709 8.0286375, 125.1322801 8.0281602, 125.1324365 8.027824799999999, 125.1322997 8.0271089, 125.1335959 8.0266316, 125.1335307 8.0249676, 125.1338043 8.0239808, 125.1340323 8.023123, 125.1366767 8.0241937, 125.1389043 8.025180499999999, 125.1388913 8.0256448, 125.1394299 8.025838500000001, 125.1395344 8.0264975, 125.1395179 8.0267555, 125.138761 8.0265542, 125.1386568 8.0271025, 125.1381292 8.027657100000001, 125.1380315 8.0282505, 125.1392105 8.0286762, 125.1390216 8.030172500000001, 125.1386373 8.0300628, 125.1385331 8.030675499999999, 125.1379208 8.030688400000001, 125.138279 8.0312302, 125.1388652 8.031359200000001, 125.1383311 8.035416, 125.1377514 8.035248299999999, 125.1373606 8.035177300000001, 125.1368767 8.035221699999999, 125.1351441 8.0357764, 125.1332291 8.035834400000001, 125.1328924 8.0346549, 125.1322085 8.0351515, 125.1316288 8.0347065, 125.131987 8.0341583, 125.1312185 8.033719700000001, 125.1324886 8.0326556, 125.1337392 8.032636200000001, 125.1335894 8.0320622, 125.1338759 8.031772, 125.1340377 8.030424), (125.1340493 8.030351400000001, 125.1356476 8.030578800000001, 125.1357648 8.029005099999999, 125.1343384 8.0286504, 125.1340493 8.030351400000001))",POINT (125.1355869719068 8.029901678481828),125.135587,8.029901678
1,farmland,"POLYGON ((124.3056719 7.7243198, 124.3055673 7.7243384, 124.3043482 7.7241404, 124.3038259 7.7240473, 124.3034396 7.7239158, 124.303107 7.723836, 124.3025874 7.7237031, 124.3024036 7.7235264, 124.3022159 7.7234759, 124.3020925 7.7235224, 124.3016003 7.7233696, 124.3014984 7.7229988, 124.3014863 7.7225616, 124.3014139 7.7225031, 124.3014112 7.7223038, 124.3015051 7.7220858, 124.3009391 7.7215197, 124.3009177 7.7213815, 124.3008104 7.7210971, 124.3007219 7.7209084, 124.3007138 7.7207622, 124.3008479 7.7207835, 124.3010035 7.7208632, 124.3011939 7.720935, 124.3014541 7.7209668, 124.3017009 7.7209403, 124.3017545 7.7208924, 124.3023205 7.7209668, 124.3023929 7.7210918, 124.3025807 7.7210546, 124.3026933 7.7210014, 124.3024868 7.7207994, 124.3022561 7.7205868, 124.3019852 7.719909, 124.3021461 7.719404, 124.3021488 7.7189495, 124.3021864 7.7183222, 124.3027174 7.7184711, 124.3031037 7.7186199, 124.3034685 7.7190133, 124.3036562 7.719311, 124.3037152 7.7193003, 124.3037099 7.7191675, 124.3037635 7.7186146, 124.3036616 7.7182212, 124.3030983 7.7179076, 124.3027282 7.717679, 124.3021542 7.7173601, 124.3020576 7.7175089, 124.3021649 7.7176471, 124.3020683 7.7179767, 124.3013978 7.7178544, 124.3009579 7.7180618, 124.3011028 7.7182584, 124.3017304 7.7183063, 124.3018162 7.7188804, 124.3012637 7.7189761, 124.3000191 7.7186252, 124.3000299 7.7139978, 124.3004107 7.7140137, 124.3005985 7.7140536, 124.3005127 7.7143354, 124.3012208 7.7145028, 124.3012395 7.7142131, 124.3023795 7.7144709, 124.3022987 7.7146428, 124.3022883 7.7146649, 124.3019369 7.7145958, 124.3018296 7.714936, 124.3023795 7.7151115, 124.302232 7.7158583, 124.3024304 7.7159062, 124.3025029 7.7158238, 124.3025324 7.7156696, 124.3027094 7.7157042, 124.3028355 7.7159753, 124.3028569 7.7163261, 124.3029575 7.7163195, 124.3029347 7.7162145, 124.302979 7.7160617, 124.30305 7.715752, 124.30292 7.7157201, 124.3030152 7.7149679, 124.3032901 7.7150238, 124.3033142 7.714855, 124.3034162 7.7148377, 124.3034215 7.7145786, 124.3034819 7.7145852, 124.3035074 7.7144829, 124.3035462 7.7144895, 124.303565 7.7143274, 124.303789 7.7142835, 124.3037702 7.7143606, 124.3039271 7.7143805, 124.3039499 7.7144523, 124.3040746 7.7144789, 124.304025 7.7148576, 124.3041216 7.7148802, 124.3041135 7.7149985, 124.3042879 7.7150477, 124.3043201 7.7152231, 124.304316 7.7155234, 124.3043764 7.7157281, 124.3041243 7.7161746, 124.3045628 7.7162212, 124.3057792 7.7164218, 124.305863 7.7162883, 124.3061413 7.7158211, 124.305979 7.7157308, 124.3061467 7.7154052, 124.3055861 7.7151806, 124.3056907 7.7148736, 124.3058194 7.7149135, 124.3058623 7.7147686, 124.3062459 7.7148882, 124.3064699 7.7144164, 124.307752 7.7148656, 124.3075776 7.7153042, 124.3078512 7.7154038, 124.3076259 7.7160404, 124.3078284 7.7161255, 124.3078928 7.7160112, 124.3085754 7.7163261, 124.308452 7.7164883, 124.3082428 7.7166438, 124.3082951 7.7166889, 124.3080805 7.7172139, 124.3070063 7.7176166, 124.3069419 7.7179847, 124.3071713 7.7180166, 124.3071538 7.7181481, 124.3074864 7.7182212, 124.3073416 7.7183781, 124.3073067 7.7186066, 124.3073845 7.7189017, 124.3072584 7.7194013, 124.3075079 7.7194784, 124.3073094 7.7201642, 124.3071055 7.7200951, 124.3068802 7.7207728, 124.3069929 7.7208074, 124.3068078 7.7215011, 124.3065973 7.7214758, 124.3065919 7.7215277, 124.3066375 7.7215184, 124.3066643 7.7216008, 124.3066925 7.7216101, 124.3066603 7.7217562, 124.3067273 7.7217895, 124.3067005 7.7219011, 124.3066066 7.7218745, 124.3065517 7.7220313, 124.3065114 7.7220758, 124.3064075 7.7220413, 124.3063471 7.7221602, 124.3060005 7.7234865, 124.3058838 7.7236433, 124.3057913 7.7238839, 124.3057148 7.7242161, 124.3056719 7.7243198), (124.3053795 7.7169434, 124.305462 7.71697, 124.3054875 7.7168863, 124.305407 7.7168591, 124.3053795 7.7169434), (124.3064229 7.7192997, 124.3065463 7.7193349, 124.3065939 7.7191262, 124.3066442 7.7191329, 124.3066871 7.7189993, 124.3065114 7.7189475, 124.3064229 7.7192997), (124.3063176 7.7195801, 124.3064336 7.7196273, 124.3065027 7.7194253, 124.3063867 7.7193834, 124.3063176 7.7195801), (124.3061795 7.7200678, 124.3063183 7.7198319, 124.3061788 7.7197608, 124.3060595 7.72001, 124.3061795 7.7200678))",POINT (124.3040192956157 7.718944089197861),124.3040193,7.718944089
2,farmland,"POLYGON ((122.3690368 6.7702253, 122.3679391 6.7702253, 122.3672236 6.7703061, 122.3664999 6.7709924, 122.3664415 6.7714416, 122.3660767 6.7712605, 122.3662927 6.7708687, 122.3663356 6.7702507, 122.3672798 6.7700163, 122.3682024 6.7693345, 122.3689535 6.7683117, 122.3698332 6.7677577, 122.3706701 6.7670119, 122.3714855 6.7664579, 122.3723009 6.7664792, 122.3730733 6.7659039, 122.3735025 6.7662874, 122.3740389 6.7676298, 122.3743179 6.7684182, 122.3748114 6.7682904, 122.3763349 6.7673102, 122.3766138 6.7667988, 122.3765507 6.7659281, 122.3770148 6.7662078, 122.3777953 6.7666739, 122.3785946 6.7671054, 122.3791525 6.767425, 122.3795307 6.7676488, 122.3798472 6.7679258, 122.3800483 6.7681229, 122.3802012 6.768304, 122.3799204 6.7687659, 122.3805426 6.7697887, 122.3811005 6.7715786, 122.380607 6.7715146, 122.3805212 6.7721752, 122.3799633 6.772026, 122.379856 6.7714081, 122.3801349 6.7711524, 122.3801349 6.7700018, 122.3798345 6.7695969, 122.3794912 6.7703001, 122.3785471 6.770641, 122.3775815 6.7704279, 122.3779677 6.7696822, 122.3775815 6.7694478, 122.3772485 6.7700472, 122.3767121 6.7702283, 122.376004 6.7703028, 122.3760362 6.7705905, 122.374586 6.7706058, 122.3728164 6.7703387, 122.371429 6.7701138, 122.3712591 6.7708589, 122.3718679 6.7709713, 122.3720802 6.7714774, 122.3716555 6.7717023, 122.3713016 6.7719835, 122.3711742 6.7721241, 122.3708486 6.7716602, 122.3707495 6.7713509, 122.37051 6.7712916, 122.3701411 6.7714493, 122.3700897 6.7709763, 122.3699426 6.7708729, 122.3698435 6.77017, 122.3702965 6.7701419, 122.3703248 6.7698607, 122.3699992 6.7697764, 122.3693905 6.7699591, 122.3690368 6.7702253))",POINT (122.3742383421532 6.768946223198678),122.3742383,6.768946223
3,farmland,"POLYGON ((124.5005436 8.5309594, 124.5011227 8.5312064, 124.5009663 8.531314999999999, 124.5008565 8.531268799999999, 124.5007584 8.531333399999999, 124.500616 8.531472000000001, 124.5005039 8.5315736, 124.5005775 8.5316209, 124.5005319 8.5316671, 124.5004998 8.531703800000001, 124.5005423 8.531739200000001, 124.5006469 8.531814900000001, 124.5006814 8.531855699999999, 124.5006569 8.531901299999999, 124.5006259 8.5319333, 124.5006035 8.5318939, 124.5005724 8.531872999999999, 124.5005241 8.531886200000001, 124.5004642 8.531773599999999, 124.5003125 8.531728299999999, 124.500121 8.5313196, 124.5002541 8.5312942, 124.5005436 8.5309594))",POINT (124.5005426263713 8.531360294660992),124.5005426,8.531360295
4,farmland,"POLYGON ((124.8285566 6.2042182, 124.8280556 6.2053276, 124.8269423 6.2048374, 124.8273109 6.2035487, 124.8274899 6.2031675, 124.8274407 6.2028987, 124.8274545 6.2027261, 124.8277019 6.2020089, 124.8279576 6.2020581, 124.8280739 6.2019229, 124.828264 6.2015275, 124.8287987 6.2007494, 124.8291921 6.2004208, 124.8290345 6.2024177, 124.8290387 6.2024517, 124.8287237 6.2031015, 124.8294706 6.2033272, 124.8298501 6.202935, 124.8304017 6.2033683, 124.8302085 6.2041558, 124.8303598 6.2042974, 124.8303538 6.2044469, 124.8303872 6.2045256, 124.8304066 6.2046504, 124.8301506 6.2048809, 124.8297303 6.2049433, 124.8285566 6.2042182))",POINT (124.8286077186102 6.20341149602442),124.8286077,6.203411496
5,farmland,"POLYGON ((124.8383748 6.1221997, 124.8384904 6.1221614, 124.8386429 6.1221109, 124.8387215 6.1221737, 124.8386953 6.1223207, 124.8385874 6.1224969, 124.8385227 6.1227113, 124.8384395 6.1228094, 124.8382839 6.122915, 124.8381715 6.1229028, 124.8380791 6.1228645, 124.8381145 6.1227803, 124.8382069 6.1226286, 124.8382085 6.122552, 124.8381576 6.1224892, 124.8379666 6.1223146, 124.8379435 6.1222059, 124.8380513 6.1220971, 124.8381946 6.1220772, 124.8382855 6.1221354, 124.8383748 6.1221997))",POINT (124.8383328421318 6.122440221307902),124.8383328,6.122440221
6,farmland,"POLYGON ((125.4321128 7.2130097, 125.4315217 7.2118868, 125.4310901 7.2110717, 125.4316533 7.2110117, 125.4319792 7.2110467, 125.4320918 7.211175, 125.4325752 7.2111699, 125.4330033 7.2112328, 125.4333286 7.2113279, 125.4333707 7.2114897, 125.4334649 7.2117753, 125.4339247 7.2133554, 125.4330476 7.2135773, 125.4329989 7.2135894, 125.4324777 7.2137083, 125.4323205 7.2134097, 125.4321128 7.2130097))",POINT (125.4326259409904 7.212276497596614),125.4326259,7.212276498
7,farmland,"MULTIPOLYGON (((125.0571065 6.2566593, 125.0607606 6.2527018, 125.0608096 6.2533179, 125.0610349 6.2539365, 125.0610564 6.2548003, 125.0612817 6.2556215, 125.0616464 6.2563361, 125.061743 6.256784, 125.0618181 6.2572959, 125.0619683 6.2577652, 125.0617967 6.2581598, 125.0614748 6.258661, 125.0612495 6.2589916, 125.0611744 6.2595462, 125.0610671 6.2601648, 125.0571065 6.2566593)), ((125.0539431 6.2601754, 125.0562606 6.2576905, 125.0577626 6.2589596, 125.0586316 6.2580958, 125.0610456 6.2602288, 125.0610885 6.2608687, 125.0612602 6.2613592, 125.0613997 6.2619245, 125.0614962 6.2621378, 125.0615177 6.262607, 125.0616143 6.2633642, 125.0615499 6.2636308, 125.0616357 6.2640574, 125.0614962 6.26442, 125.061507 6.2655185, 125.061346 6.2660837, 125.0612709 6.2663504, 125.0609491 6.2665317, 125.0539431 6.2601754)), ((125.0597582 6.2683553, 125.059962 6.2678328, 125.0601444 6.2672142, 125.0608632 6.2665743, 125.0597582 6.2683553)))",POINT (125.0589689868056 6.259968784564361),125.058969,6.259968785
8,farmland,"MULTIPOLYGON (((125.0539431 6.2601754, 125.0562606 6.2576905, 125.0577626 6.2589596, 125.0586316 6.2580958, 125.0610456 6.2602288, 125.0610885 6.2608687, 125.0612602 6.2613592, 125.0613997 6.2619245, 125.0614962 6.2621378, 125.0615177 6.262607, 125.0616143 6.2633642, 125.0615499 6.2636308, 125.0616357 6.2640574, 125.0614962 6.26442, 125.061507 6.2655185, 125.061346 6.2660837, 125.0612709 6.2663504, 125.0609491 6.2665317, 125.0539431 6.2601754)), ((125.0597582 6.2683553, 125.059962 6.2678328, 125.0601444 6.2672142, 125.0608632 6.2665743, 125.0597582 6.2683553)))",POINT (125.0584920049675 6.261643850629848),125.058492,6.261643851
9,farmland,"MULTIPOLYGON (((125.0649724 6.2645267, 125.0682769 6.2607513, 125.0682018 6.2612953, 125.0681589 6.2618925, 125.0681803 6.2622231, 125.0678477 6.2625964, 125.0679979 6.2630123, 125.0679443 6.2635882, 125.0678477 6.2639081, 125.0681052 6.2642281, 125.0684163 6.2648253, 125.0683305 6.2652306, 125.0684807 6.2656038, 125.0683091 6.2660837, 125.0683627 6.2666276, 125.0687168 6.2671929, 125.0692854 6.2678008, 125.0694463 6.2681207, 125.0701008 6.2687499, 125.0701973 6.2693365, 125.0701866 6.2698057, 125.0702617 6.2704029, 125.0703046 6.2709362, 125.0682876 6.2729944, 125.0679014 6.2697417, 125.0649724 6.2645267)), ((125.0609813 6.2688139, 125.0648329 6.264676, 125.0677637 6.2697666, 125.0680397 6.2716084, 125.0681404 6.2725193, 125.0660591 6.2726364, 125.0656483 6.27164, 125.0655088 6.2712988, 125.0653372 6.2707655, 125.0651226 6.2702963, 125.0651655 6.2700723, 125.0648544 6.2694858, 125.064157 6.2693258, 125.0638459 6.2691978, 125.0629554 6.2691338, 125.0623653 6.2689845, 125.0617752 6.2687073, 125.0614211 6.2688779, 125.0609813 6.2688139)))",POINT (125.0665395783893 6.267890855574103),125.0665396,6.267890856
10,farmland,"MULTIPOLYGON (((125.0649724 6.2645267, 125.0682769 6.2607513, 125.0682018 6.2612953, 125.0681589 6.2618925, 125.0681803 6.2622231, 125.0678477 6.2625964, 125.0679979 6.2630123, 125.0679443 6.2635882, 125.0678477 6.2639081, 125.0681052 6.2642281, 125.0684163 6.2648253, 125.0683305 6.2652306, 125.0684807 6.2656038, 125.0683091 6.2660837, 125.0683627 6.2666276, 125.0687168 6.2671929, 125.0692854 6.2678008, 125.0694463 6.2681207, 125.0701008 6.2687499, 125.0701973 6.2693365, 125.0701866 6.2698057, 125.0702617 6.2704029, 125.0703046 6.2709362, 125.0682876 6.2729944, 125.0679014 6.2697417, 125.0649724 6.2645267)), ((125.0609813 6.2688139, 125.0648329 6.264676, 125.0677637 6.2697666, 125.0680397 6.2716084, 125.0681404 6.2725193, 125.0660591 6.2726364, 125.0656483 6.27164, 125.0655088 6.2712988, 125.0653372 6.2707655, 125.0651226 6.2702963, 125.0651655 6.2700723, 125.0648544 6.2694858, 125.064157 6.2693258, 125.0638459 6.2691978, 125.0629554 6.2691338, 125.0623653 6.2689845, 125.0617752 6.2687073, 125.0614211 6.2688779, 125.0609813 6.2688139)))",POINT (125.0665395783893 6.267890855574103),125.0665396,6.267890856
11,farmland,"MULTIPOLYGON (((125.0642017 6.2603764, 125.0668285 6.2575199, 125.0686416 6.2591943, 125.0685344 6.2595249, 125.0684485 6.2598342, 125.066308 6.2624528, 125.0642017 6.2603764)), ((125.0642017 6.2603764, 125.062494 6.258693, 125.0629339 6.2579571, 125.0627301 6.2569013, 125.0625477 6.2561228, 125.0623546 6.2557175, 125.0622258 6.2551736, 125.0618932 6.2543844, 125.0618718 6.2536912, 125.0618396 6.2531473, 125.0613139 6.2524007, 125.0653705 6.2561665, 125.0668285 6.2575199, 125.0642017 6.2603764)), ((125.0626335 6.2663397, 125.062612 6.2659024, 125.0629125 6.2650279, 125.0626871 6.2643667, 125.0624833 6.2636415, 125.0625906 6.2628843, 125.0623653 6.2624364, 125.0624511 6.2618392, 125.0623331 6.2612846, 125.0623653 6.26073, 125.0620863 6.2598235, 125.0621936 6.2591836, 125.062494 6.258693, 125.0642017 6.2603764, 125.066308 6.2624528, 125.0663779 6.2625217, 125.0626335 6.2663397)))",POINT (125.0645701506951 6.259665155748879),125.0645702,6.259665156
12,farmland,"MULTIPOLYGON (((125.0613139 6.2524007, 125.0632021 6.2503637, 125.0672254 6.2540858, 125.0653705 6.2561665, 125.0613139 6.2524007)), ((125.0653705 6.2561665, 125.0684102 6.2529003, 125.0706418 6.2547987, 125.0703414 6.2551719, 125.0701375 6.2558332, 125.0696011 6.2564731, 125.0694509 6.2568037, 125.0691505 6.2570596, 125.0690968 6.2574969, 125.069011 6.2578915, 125.0687964 6.2582968, 125.0687857 6.2584781, 125.0686416 6.2591943, 125.0653705 6.2561665)), ((125.0642017 6.2603764, 125.0668285 6.2575199, 125.0686416 6.2591943, 125.0685344 6.2595249, 125.0684485 6.2598342, 125.066308 6.2624528, 125.0642017 6.2603764)), ((125.0642017 6.2603764, 125.062494 6.258693, 125.0629339 6.2579571, 125.0627301 6.2569013, 125.0625477 6.2561228, 125.0623546 6.2557175, 125.0622258 6.2551736, 125.0618932 6.2543844, 125.0618718 6.2536912, 125.0618396 6.2531473, 125.0613139 6.2524007, 125.0653705 6.2561665, 125.0668285 6.2575199, 125.0642017 6.2603764)), ((125.0626335 6.2663397, 125.062612 6.2659024, 125.0629125 6.2650279, 125.0626871 6.2643667, 125.0624833 6.2636415, 125.0625906 6.2628843, 125.0623653 6.2624364, 125.0624511 6.2618392, 125.0623331 6.2612846, 125.0623653 6.26073, 125.0620863 6.2598235, 125.0621936 6.2591836, 125.062494 6.258693, 125.0642017 6.2603764, 125.066308 6.2624528, 125.0663779 6.2625217, 125.0626335 6.2663397)))",POINT (125.0652716856028 6.257518476157706),125.0652717,6.257518476
13,farmland,"POLYGON ((125.0245648 7.7545201, 125.0251954 7.7557649, 125.0248284 7.7571625, 125.0235848 7.7579031, 125.0224337 7.7582837, 125.0216653 7.7587504, 125.022521 7.759235, 125.022399 7.7603895, 125.0212812 7.7648573, 125.0192822 7.7634893, 125.0190351 7.7642116, 125.0185897 7.7642313, 125.0181846 7.7642798, 125.0175812 7.764201, 125.0160128 7.7639962, 125.0136257 7.7620005, 125.0139589 7.7604432, 125.0126794 7.7601929, 125.0118713 7.7567566, 125.0131845 7.7547382, 125.0142854 7.7537576, 125.0147467 7.7523426, 125.0148326 7.7514431, 125.016273 7.7516653, 125.0197421 7.7526711, 125.0235194 7.7532777, 125.0245648 7.7545201))",POINT (125.0182109015361 7.757815588779168),125.0182109,7.757815589
14,farmland,"POLYGON ((124.9713063 6.4712532, 124.9725401 6.470539, 124.9733341 6.470475, 124.9745679 6.4707415, 124.9747395 6.4711146, 124.9744284 6.4720101, 124.9741495 6.4727457, 124.9747825 6.4728736, 124.9753511 6.4730122, 124.9757051 6.472298, 124.9761128 6.4708588, 124.9765849 6.4706029, 124.9766335 6.4704197, 124.9792135 6.471008, 124.9808228 6.4678845, 124.9802112 6.4674901, 124.978677 6.4686734, 124.9773252 6.4695582, 124.9761236 6.4700486, 124.9752009 6.4690465, 124.9748039 6.4694623, 124.9746001 6.4703791, 124.9740529 6.4702938, 124.973613 6.4693024, 124.9731839 6.4691425, 124.9720144 6.4696435, 124.9709844 6.4695795, 124.9704265 6.4692384, 124.9700189 6.4683536, 124.97195 6.4682576, 124.9750507 6.4683323, 124.9755657 6.4677992, 124.976145 6.4662108, 124.9769175 6.4662001, 124.9830437 6.4662534, 124.9839556 6.466989, 124.9845135 6.4674368, 124.9848461 6.4680018, 124.9854362 6.4691638, 124.9843633 6.4695156, 124.9841702 6.4688226, 124.9842238 6.4683749, 124.9834728 6.4684069, 124.9824536 6.4690678, 124.9820673 6.4696861, 124.9825072 6.4702405, 124.9830222 6.4711573, 124.9830758 6.471605, 124.9825823 6.4724152, 124.9823999 6.4723619, 124.9810481 6.4732254, 124.980737 6.4714025, 124.9803293 6.4714345, 124.9799323 6.4718715, 124.9791276 6.4720101, 124.9784732 6.4725005, 124.9780977 6.4724472, 124.977572 6.4721914, 124.9771213 6.4724152, 124.9765849 6.4723086, 124.9760914 6.4724579, 124.9759734 6.4728203, 124.9767566 6.4726924, 124.9773037 6.4727777, 124.9773574 6.4732467, 124.9771535 6.4737904, 124.9768639 6.4740996, 124.9775827 6.4748778, 124.9773896 6.4756027, 124.9768209 6.4759971, 124.9766171 6.47669, 124.9767351 6.4778094, 124.9759626 6.4777134, 124.9749541 6.4774256, 124.97401 6.4769246, 124.9728727 6.476157, 124.9724543 6.4759332, 124.9723148 6.4753788, 124.9721646 6.4747712, 124.9722612 6.4745153, 124.973216 6.4748565, 124.9735272 6.4747392, 124.9739241 6.4742595, 124.9731624 6.4744833, 124.972626 6.474494, 124.9720788 6.4738544, 124.971714 6.4736838, 124.9715316 6.4742808, 124.9716818 6.4747392, 124.9720037 6.4751443, 124.9718106 6.4755281, 124.9720037 6.4759118, 124.9718857 6.4761464, 124.9715853 6.4758159, 124.971199 6.4756027, 124.9708557 6.4757093, 124.9697292 6.4749417, 124.9698901 6.4745047, 124.9697828 6.4735772, 124.9689996 6.4735026, 124.9679053 6.4730762, 124.967916 6.4726498, 124.9682164 6.4723726, 124.9687743 6.4725965, 124.969933 6.4727777, 124.9713063 6.4712532), (124.9741924 6.4746699, 124.9738491 6.4747445, 124.973951 6.4750697, 124.9737042 6.4754694, 124.9740046 6.4755281, 124.9742138 6.4759332, 124.9749756 6.476253, 124.9755818 6.4763596, 124.9756139 6.4760931, 124.975217 6.4756133, 124.9747181 6.4753735, 124.9741924 6.4746699))",POINT (124.976558216068 6.471139935081344),124.9765582,6.471139935
15,farmland,"POLYGON ((125.1143483 8.1119089, 125.1145026 8.111959799999999, 125.1148672 8.1121125, 125.1148345 8.1122143, 125.1148579 8.1122791, 125.1149607 8.1123624, 125.1150682 8.1123856, 125.1149514 8.11289, 125.114928 8.1129409, 125.1146803 8.112792799999999, 125.1145914 8.1126494, 125.114512 8.112626199999999, 125.1144138 8.1124318, 125.1143063 8.112394800000001, 125.1140398 8.112126399999999, 125.1140164 8.1119968, 125.1139183 8.112015299999999, 125.1137219 8.111844100000001, 125.1134415 8.1116405, 125.1134695 8.111566399999999, 125.1135583 8.1116312, 125.1138201 8.111737700000001, 125.1138575 8.1118256, 125.1139978 8.111816299999999, 125.1141146 8.111858, 125.1141917 8.1118557, 125.1143483 8.1119089))",POINT (125.1144714494207 8.112261475568992),125.1144714,8.112261476
